sequence;Freq;Prop
Process_Medium_Range;149;68.66
Process_Medium;37;17.05
Agent_Process_Medium;25;11.52
Agent_Process;4;1.84
Agent_Process_Medium_Beneficiary;1;0.46
Agent_Process_Range;1;0.46
